,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,0.20,0.83,-1.29,-21.19,-21.12,-20.94,5.65,9.69,0.74,0.13,-0.74,-0.66,0.05,1284631,16:59:24.556780
1,0.20,0.83,-1.29,-21.19,-21.12,-20.94,7.80,9.92,2.42,0.13,-0.74,-0.66,0.05,1285124,16:59:25.049309
2,0.03,0.21,-0.15,-21.19,-21.12,-20.94,7.80,9.92,2.42,0.13,-0.74,-0.66,0.05,1285184,16:59:25.108400
3,0.03,0.21,-0.15,-21.19,-21.12,-20.94,4.54,7.93,-4.16,0.13,-0.74,-0.66,0.05,1285266,16:59:25.195638
4,0.29,0.12,0.17,-21.19,-21.12,-20.94,4.54,7.93,-4.16,0.13,-0.74,-0.66,0.05,1285495,16:59:25.419316
5,-0.06,0.29,0.00,-21.19,-21.12,-20.94,4.54,7.93,-4.16,0.13,-0.74,-0.66,0.05,1285548,16:59:25.474175
6,-0.06,0.29,0.00,-21.19,-21.12,-20.94,9.56,6.09,-6.35,0.13,-0.74,-0.66,0.05,1285606,16:59:25.532936
7,-0.06,0.29,0.00,-21.19,-21.12,-20.94,10.48,8.43,-0.49,0.13,-0.74,-0.66,0.05,1285639,16:59:25.569954
8,-0.06,0.29,0.00,-21.19,-21.12,-20.94,10.25,8.05,0.51,0.13,-0.74,-0.66,0.05,1285670,16:59:25.596427
9,-0.06,0.29,0.00,-21.19,-21.12,-20.94,9.06,8.50,1.66,0.13,-0.74,-0.66,0.05,1286587,16:59:26.516024
10,-1.59,3.24,1.47,-21.19,-21.12,-20.94,9.06,8.50,1.66,0.13,-0.74,-0.66,0.05,1286636,16:59:26.558351
11,-1.59,3.24,1.47,-21.19,-21.12,-20.94,9.06,8.50,1.66,0.86,0.01,0.22,0.47,1286695,16:59:26.618884
12,-0.10,0.10,-0.04,-21.19,-21.12,-20.94,9.06,8.50,1.66,0.86,0.01,0.22,0.47,1286950,16:59:26.878725
13,-0.10,0.10,-0.04,-21.19,-21.12,-20.94,4.85,6.93,-6.12,0.86,0.01,0.22,0.47,1286987,16:59:26.910835
14,-0.10,0.10,-0.04,-21.19,-21.12,-20.94,6.27,4.29,-6.58,0.86,0.01,0.22,0.47,1287078,16:59:27.008653
15,0.86,0.59,0.81,-21.19,-21.12,-20.94,6.27,4.29,-6.58,0.86,0.01,0.22,0.47,1287120,16:59:27.043803
16,1.08,1.40,0.62,-21.19,-21.12,-20.94,6.27,4.29,-6.58,0.86,0.01,0.22,0.47,1287176,16:59:27.098424
17,1.08,1.40,0.62,-21.19,-21.12,-20.94,10.32,4.45,-4.05,0.86,0.01,0.22,0.47,1287212,16:59:27.139116
18,0.36,1.21,1.63,-21.19,-21.12,-20.94,10.32,4.45,-4.05,0.86,0.01,0.22,0.47,1287250,16:59:27.172726
19,0.36,1.21,1.63,-21.19,-21.12,-20.94,9.71,2.91,-3.90,0.86,0.01,0.22,0.47,1287376,16:59:27.303890
20,0.36,1.21,1.63,-21.19,-21.12,-20.94,10.48,2.61,-3.94,0.86,0.01,0.22,0.47,1287429,16:59:27.354834
21,0.36,1.21,1.63,-21.19,-21.12,-20.94,9.06,0.65,-1.95,0.86,0.01,0.22,0.47,1287516,16:59:27.409458
22,-0.78,-0.11,1.49,-21.19,-21.12,-20.94,9.06,0.65,-1.95,0.86,0.01,0.22,0.47,1287570,16:59:27.481047
23,-0.50,-1.71,0.20,-21.19,-21.12,-20.94,9.06,0.65,-1.95,0.86,0.01,0.22,0.47,1287610,16:59:27.536264
24,-0.50,-1.71,0.20,-21.19,-21.12,-20.94,1.09,1.65,-2.14,0.86,0.01,0.22,0.47,1287650,16:59:27.579476
25,-0.50,-1.71,0.20,-21.19,-21.12,-20.94,1.13,5.94,-4.20,0.86,0.01,0.22,0.47,1287738,16:59:27.664498
26,-0.50,-1.71,0.20,-21.19,-21.12,-20.94,4.20,8.96,-3.97,0.86,0.01,0.22,0.47,1287809,16:59:27.725478
27,-1.31,-0.33,-4.06,-21.19,-21.12,-20.94,4.20,8.96,-3.97,0.86,0.01,0.22,0.47,1287941,16:59:27.865317
28,-1.31,-0.33,-4.06,-21.19,-21.12,-20.94,9.29,10.19,-2.79,0.86,0.01,0.22,0.47,1288041,16:59:27.963896
29,-1.31,-0.33,-4.06,1.31,-5.31,-14.63,9.29,10.19,-2.79,0.86,0.01,0.22,0.47,1288075,16:59:27.999663
30,-1.31,-0.33,-4.06,6.12,-6.62,-11.81,9.29,10.19,-2.79,0.86,0.01,0.22,0.47,1288107,16:59:28.036225
31,-1.31,-0.33,-4.06,6.12,-6.62,-11.81,6.68,8.39,0.47,0.86,0.01,0.22,0.47,1288168,16:59:28.098110
32,-1.31,-0.33,-4.06,6.12,-6.62,-11.81,7.07,8.31,-0.41,0.86,0.01,0.22,0.47,1288201,16:59:28.127860
33,-1.31,-0.33,-4.06,6.12,-6.62,-11.81,7.41,7.62,-2.52,0.86,0.01,0.22,0.47,1288234,16:59:28.162232
34,-1.31,-0.33,-4.06,6.12,-6.62,-11.81,7.76,7.12,-3.59,0.86,0.01,0.22,0.47,1288265,16:59:28.194962
35,-0.21,0.45,-0.46,6.12,-6.62,-11.81,7.76,7.12,-3.59,0.86,0.01,0.22,0.47,1288312,16:59:28.240561
36,-0.21,0.45,-0.46,6.12,-6.62,-11.81,9.98,9.12,-5.01,0.86,0.01,0.22,0.47,1288356,16:59:28.282265
37,-0.21,0.45,-0.46,6.12,-6.62,-11.81,9.44,11.34,-2.33,0.86,0.01,0.22,0.47,1288392,16:59:28.320410
38,-0.21,0.45,-0.46,6.12,-6.62,-11.81,10.82,9.00,-1.52,0.86,0.01,0.22,0.47,1288576,16:59:28.505901
39,-0.21,0.45,-0.46,8.94,-4.12,-8.31,10.82,9.00,-1.52,0.86,0.01,0.22,0.47,1289128,16:59:29.048846
40,-0.21,0.45,-0.46,8.94,-4.12,-8.31,6.87,9.43,-1.98,0.86,0.01,0.22,0.47,1289160,16:59:29.086968
41,-0.21,0.45,-0.46,8.94,-4.12,-8.31,5.19,7.43,-3.78,0.86,0.01,0.22,0.47,1289203,16:59:29.133502
42,-0.21,0.45,-0.46,8.94,-4.12,-8.31,6.23,6.97,-3.05,0.86,0.01,0.22,0.47,1289253,16:59:29.180047
43,-0.21,0.45,-0.46,8.94,-4.12,-8.31,7.53,6.21,-4.32,0.86,0.01,0.22,0.47,1289355,16:59:29.283377
44,-0.21,0.45,-0.46,8.94,-4.12,-8.31,8.06,5.79,-4.16,0.86,0.01,0.22,0.47,1289400,16:59:29.318622
45,-0.21,0.45,-0.46,8.94,-4.12,-8.31,7.61,6.78,-3.13,0.86,0.01,0.22,0.47,1289483,16:59:29.404067
46,-0.21,0.45,-0.46,8.94,-4.12,-8.31,7.91,7.47,-3.09,0.86,0.01,0.22,0.47,1289521,16:59:29.448557
47,-0.01,-0.60,0.31,8.94,-4.12,-8.31,7.91,7.47,-3.09,0.86,0.01,0.22,0.47,1289667,16:59:29.595576
48,-0.01,-0.60,0.31,8.94,-4.12,-8.31,9.37,7.70,-1.71,0.86,0.01,0.22,0.47,1289762,16:59:29.675406
49,-0.33,-1.53,2.06,8.94,-4.12,-8.31,9.37,7.70,-1.71,0.86,0.01,0.22,0.47,1289833,16:59:29.758131
50,-0.33,-1.53,2.06,8.94,-4.12,-8.31,6.07,7.89,-2.40,0.86,0.01,0.22,0.47,1290626,16:59:30.551210
51,1.12,0.59,1.63,8.94,-4.12,-8.31,6.07,7.89,-2.40,0.86,0.01,0.22,0.47,1290681,16:59:30.604586
52,0.37,-0.48,0.90,8.94,-4.12,-8.31,6.07,7.89,-2.40,0.86,0.01,0.22,0.47,1290759,16:59:30.687547
53,0.37,-0.48,0.90,8.94,-4.12,-8.31,10.25,8.93,-2.02,0.86,0.01,0.22,0.47,1291695,16:59:31.621182
54,0.37,-0.48,0.90,8.94,-4.12,-8.31,9.41,10.88,-2.44,0.86,0.01,0.22,0.47,1291760,16:59:31.686403
55,0.69,1.88,-0.32,8.94,-4.12,-8.31,9.41,10.88,-2.44,0.86,0.01,0.22,0.47,1293000,16:59:32.927764
56,0.69,1.88,-0.32,8.94,-4.12,-8.31,9.56,9.08,-3.13,0.86,0.01,0.22,0.47,1293576,16:59:33.501496
57,0.69,1.88,-0.32,8.94,-4.12,-8.31,8.37,10.61,-3.40,0.86,0.01,0.22,0.47,1294043,16:59:33.957977
58,-0.96,0.33,-3.21,8.94,-4.12,-8.31,8.37,10.61,-3.40,0.86,0.01,0.22,0.47,1294174,16:59:34.100183
59,-0.96,0.33,-3.21,8.94,-4.12,-8.31,8.98,8.31,-2.63,0.86,0.01,0.22,0.47,1294391,16:59:34.315369
60,-0.96,0.33,-3.21,8.94,-4.12,-8.31,8.60,10.08,-1.98,0.86,0.01,0.22,0.47,1294503,16:59:34.419041
61,-0.96,0.33,-3.21,8.94,-4.12,-8.31,5.42,9.08,-1.87,0.86,0.01,0.22,0.47,1294994,16:59:34.920522
62,0.45,0.61,1.68,8.94,-4.12,-8.31,5.42,9.08,-1.87,0.86,0.01,0.22,0.47,1295136,16:59:35.054352
63,0.45,0.61,1.68,8.94,-4.12,-8.31,7.30,8.39,1.04,0.86,0.01,0.22,0.47,1295291,16:59:35.216186
64,0.46,0.80,-0.63,8.94,-4.12,-8.31,7.30,8.39,1.04,0.86,0.01,0.22,0.47,1295356,16:59:35.280258
65,0.28,0.17,0.94,8.94,-4.12,-8.31,7.30,8.39,1.04,0.86,0.01,0.22,0.47,1295482,16:59:35.405583
66,0.28,0.17,0.94,1.19,4.25,-6.81,7.30,8.39,1.04,0.86,0.01,0.22,0.47,1295746,16:59:35.669062
67,-0.90,-1.73,2.26,1.19,4.25,-6.81,7.30,8.39,1.04,0.86,0.01,0.22,0.47,1295847,16:59:35.774412
68,-0.45,-0.50,1.77,1.19,4.25,-6.81,7.30,8.39,1.04,0.86,0.01,0.22,0.47,1295946,16:59:35.872068
69,-0.45,-0.50,1.77,1.19,4.25,-6.81,0.02,10.19,-3.17,0.86,0.01,0.22,0.47,1296087,16:59:36.008998
70,-0.45,-0.50,1.77,1.19,4.25,-6.81,4.58,10.73,-3.75,0.86,0.01,0.22,0.47,1296287,16:59:36.197366
71,0.73,2.18,-2.45,1.19,4.25,-6.81,4.58,10.73,-3.75,0.86,0.01,0.22,0.47,1296325,16:59:36.249353
72,0.73,2.18,-2.45,1.19,4.25,-6.81,6.72,8.66,1.39,0.86,0.01,0.22,0.47,1296397,16:59:36.326247
73,0.73,2.18,-2.45,1.19,4.25,-6.81,7.76,8.85,1.31,0.86,0.01,0.22,0.47,1296500,16:59:36.426336
74,0.08,0.86,0.01,1.19,4.25,-6.81,7.76,8.85,1.31,0.86,0.01,0.22,0.47,1296781,16:59:36.708153
75,-0.87,-1.87,1.06,1.19,4.25,-6.81,7.76,8.85,1.31,0.86,0.01,0.22,0.47,1296870,16:59:36.773624
76,-0.87,-1.87,1.06,1.19,4.25,-6.81,4.08,9.69,0.13,0.86,0.01,0.22,0.47,1296917,16:59:36.845658
77,-0.87,-1.87,1.06,1.19,4.25,-6.81,1.71,7.36,-0.91,0.86,0.01,0.22,0.47,1297121,16:59:37.047630
78,-0.87,-1.87,1.06,1.19,4.25,-6.81,1.63,7.39,-1.56,0.86,0.01,0.22,0.47,1297600,16:59:37.521583
79,-0.87,-1.87,1.06,1.19,4.25,-6.81,4.43,11.34,-3.67,0.86,0.01,0.22,0.47,1297633,16:59:37.559855
80,0.44,-0.22,-0.04,1.19,4.25,-6.81,4.43,11.34,-3.67,0.86,0.01,0.22,0.47,1297679,16:59:37.607398
81,-0.47,-0.95,0.91,1.19,4.25,-6.81,4.43,11.34,-3.67,0.86,0.01,0.22,0.47,1297777,16:59:37.703785
82,-0.47,-0.95,0.91,1.19,4.25,-6.81,6.99,11.57,0.89,0.86,0.01,0.22,0.47,1297832,16:59:37.758357
83,-0.47,-0.95,0.91,1.19,4.25,-6.81,6.07,12.76,0.70,0.86,0.01,0.22,0.47,1298216,16:59:38.142286
84,-0.47,-0.95,0.91,1.19,4.25,-6.81,4.20,12.07,0.62,0.86,0.01,0.22,0.47,1298542,16:59:38.463722
85,-0.47,-0.95,0.91,1.19,4.25,-6.81,3.05,9.62,-3.86,0.86,0.01,0.22,0.47,1298607,16:59:38.533492
86,-0.47,-0.95,0.91,1.19,4.25,-6.81,7.03,8.01,-0.49,0.86,0.01,0.22,0.47,1298782,16:59:38.707575
87,0.20,2.39,-1.26,1.19,4.25,-6.81,7.03,8.01,-0.49,0.86,0.01,0.22,0.47,1298863,16:59:38.773652
88,0.20,2.39,-1.26,1.19,4.25,-6.81,8.64,11.42,2.84,0.86,0.01,0.22,0.47,1298909,16:59:38.831003
89,0.20,2.39,-1.26,1.75,-14.44,-17.50,8.64,11.42,2.84,0.86,0.01,0.22,0.47,1299033,16:59:38.949481
90,-0.91,-1.09,1.75,1.75,-14.44,-17.50,8.64,11.42,2.84,0.86,0.01,0.22,0.47,1299444,16:59:39.359107
91,-0.91,-1.09,1.75,1.75,-14.44,-17.50,4.27,10.38,2.19,0.86,0.01,0.22,0.47,1300032,16:59:39.947813
92,0.62,-0.50,-2.06,1.75,-14.44,-17.50,4.27,10.38,2.19,0.86,0.01,0.22,0.47,1300210,16:59:40.133634
93,0.62,-0.50,-2.06,1.75,-14.44,-17.50,6.61,9.77,0.47,0.86,0.01,0.22,0.47,1300506,16:59:40.410557
94,-0.56,-0.38,2.08,1.75,-14.44,-17.50,6.61,9.77,0.47,0.86,0.01,0.22,0.47,1300831,16:59:40.755756
95,-0.54,-0.84,-1.30,1.75,-14.44,-17.50,6.61,9.77,0.47,0.86,0.01,0.22,0.47,1300906,16:59:40.831226
96,-0.54,-0.84,-1.30,1.75,-14.44,-17.50,5.46,8.01,0.24,0.86,0.01,0.22,0.47,1300986,16:59:40.914058
97,0.68,1.32,-1.29,1.75,-14.44,-17.50,5.46,8.01,0.24,0.86,0.01,0.22,0.47,1301046,16:59:40.973474
98,0.68,1.32,-1.29,1.75,-14.44,-17.50,7.45,8.39,1.04,0.86,0.01,0.22,0.47,1301086,16:59:41.009017
99,0.68,1.32,-1.29,1.75,-14.44,-17.50,6.53,10.15,1.16,0.86,0.01,0.22,0.47,1301277,16:59:41.192608
100,0.68,1.32,-1.29,1.75,-14.44,-17.50,6.91,10.46,2.50,0.86,0.01,0.22,0.47,1301439,16:59:41.362464
101,0.68,1.32,-1.29,1.75,-14.44,-17.50,4.46,11.80,0.62,0.86,0.01,0.22,0.47,1301754,16:59:41.682544
102,-1.29,-1.13,2.08,1.75,-14.44,-17.50,4.46,11.80,0.62,0.86,0.01,0.22,0.47,1301899,16:59:41.819100
103,-0.77,0.12,-2.69,1.75,-14.44,-17.50,4.46,11.80,0.62,0.86,0.01,0.22,0.47,1301949,16:59:41.873758
104,-0.77,0.12,-2.69,1.75,-14.44,-17.50,5.69,9.62,-1.21,0.86,0.01,0.22,0.47,1302009,16:59:41.935149
105,0.43,2.71,-2.48,1.75,-14.44,-17.50,5.69,9.62,-1.21,0.86,0.01,0.22,0.47,1302117,16:59:42.042361
106,0.43,2.71,-2.48,1.75,-14.44,-17.50,6.38,9.58,0.55,0.86,0.01,0.22,0.47,1302267,16:59:42.191041
107,0.07,0.90,-0.79,1.75,-14.44,-17.50,6.38,9.58,0.55,0.86,0.01,0.22,0.47,1303112,16:59:43.026217
108,0.11,0.18,0.99,1.75,-14.44,-17.50,6.38,9.58,0.55,0.86,0.01,0.22,0.47,1303518,16:59:43.441629
109,0.11,0.18,0.99,1.75,-14.44,-17.50,4.50,8.77,0.78,0.86,0.01,0.22,0.47,1303913,16:59:43.836946
110,-1.53,-1.71,2.14,1.75,-14.44,-17.50,4.50,8.77,0.78,0.86,0.01,0.22,0.47,1304080,16:59:44.007386
111,0.43,-1.60,-0.25,1.75,-14.44,-17.50,4.50,8.77,0.78,0.86,0.01,0.22,0.47,1304180,16:59:44.105538
112,0.43,-1.60,-0.25,1.75,-14.44,-17.50,5.61,11.65,-1.18,0.86,0.01,0.22,0.47,1304226,16:59:44.152847
113,0.43,-1.60,-0.25,1.75,-14.44,-17.50,4.85,8.39,-1.14,0.86,0.01,0.22,0.47,1304283,16:59:44.210246
114,0.43,-1.60,-0.25,1.75,-14.44,-17.50,4.00,7.62,-0.83,0.86,0.01,0.22,0.47,1304343,16:59:44.268598
115,0.43,-1.60,-0.25,1.75,-14.44,-17.50,3.20,7.70,-0.53,0.86,0.01,0.22,0.47,1304524,16:59:44.449890
116,0.43,-1.60,-0.25,1.75,-14.44,-17.50,6.46,8.31,0.62,0.86,0.01,0.22,0.47,1305723,16:59:45.626126
117,0.43,-1.60,-0.25,21.00,23.50,-16.00,6.46,8.31,0.62,0.86,0.01,0.22,0.47,1305829,16:59:45.732967
118,0.37,0.61,0.18,21.00,23.50,-16.00,6.46,8.31,0.62,0.86,0.01,0.22,0.47,1306018,16:59:45.939890
119,0.37,0.61,0.18,21.00,23.50,-16.00,6.76,10.27,-0.11,0.86,0.01,0.22,0.47,1306364,16:59:46.290562
120,-0.82,-0.90,1.47,21.00,23.50,-16.00,6.76,10.27,-0.11,0.86,0.01,0.22,0.47,1306649,16:59:46.573787
121,0.21,0.07,-1.00,21.00,23.50,-16.00,6.76,10.27,-0.11,0.86,0.01,0.22,0.47,1306779,16:59:46.705996
122,0.21,0.07,-1.00,21.00,23.50,-16.00,6.68,8.09,0.81,0.86,0.01,0.22,0.47,1307047,16:59:46.955184
123,0.21,0.07,-1.00,6.44,-22.69,-5.06,6.68,8.09,0.81,0.86,0.01,0.22,0.47,1307098,16:59:47.006980
124,0.21,0.07,-1.00,6.44,-22.69,-5.06,6.76,10.30,1.58,0.86,0.01,0.22,0.47,1307643,16:59:47.571144
125,0.21,0.07,-1.00,6.44,-22.69,-5.06,5.15,10.42,0.43,0.86,0.01,0.22,0.47,1307700,16:59:47.621150
126,0.21,0.07,-1.00,6.44,-22.69,-5.06,4.00,9.27,-0.34,0.86,0.01,0.22,0.47,1307995,16:59:47.922221
127,0.21,0.07,-1.00,6.44,-22.69,-5.06,3.81,7.97,-3.25,0.86,0.01,0.22,0.47,1308472,16:59:48.388185
128,0.21,0.07,-1.00,6.44,-22.69,-5.06,8.10,7.93,-1.37,0.86,0.01,0.22,0.47,1308579,16:59:48.505398
129,0.21,0.07,-1.00,6.44,-22.69,-5.06,3.31,7.97,-0.53,0.86,0.01,0.22,0.47,1308812,16:59:48.718771
