,Xg,Yg,Zg,Xm,Ym,Zm,Xa,Ya,Za,Xq,Yq,Zq,Direction,Time,COMTime
0,-0.52,-0.09,1.58,28.75,-21.00,13.44,3.12,9.43,-1.06,0.48,-0.62,0.12,0.61,621956,16:48:21.904760
1,-0.52,-0.09,1.58,28.75,-21.00,13.44,2.93,10.27,-4.05,0.48,-0.62,0.12,0.61,624118,16:48:23.988264
2,0.03,-0.01,0.01,28.75,-21.00,13.44,2.93,10.27,-4.05,0.48,-0.62,0.12,0.61,624951,16:48:24.889886
3,-0.03,-0.04,-0.01,28.75,-21.00,13.44,2.93,10.27,-4.05,0.48,-0.62,0.12,0.61,625010,16:48:24.962519
4,-0.03,-0.04,-0.01,28.75,-21.00,13.44,4.58,8.09,-3.25,0.48,-0.62,0.12,0.61,625059,16:48:25.006156
5,-0.03,-0.04,-0.01,28.75,-21.00,13.44,4.54,7.89,-3.52,0.48,-0.62,0.12,0.61,625101,16:48:25.054648
6,-0.01,-0.01,-0.12,28.75,-21.00,13.44,4.54,7.89,-3.52,0.48,-0.62,0.12,0.61,625122,16:48:25.075677
7,-0.01,-0.01,-0.12,28.75,-21.00,13.44,4.73,7.93,-3.36,0.48,-0.62,0.12,0.61,625178,16:48:25.133317
8,-0.03,-0.02,-0.10,28.75,-21.00,13.44,4.73,7.93,-3.36,0.48,-0.62,0.12,0.61,625277,16:48:25.212920
9,-0.01,0.04,-0.07,28.75,-21.00,13.44,4.73,7.93,-3.36,0.48,-0.62,0.12,0.61,625322,16:48:25.271706
10,-0.01,0.04,-0.07,28.75,-21.00,13.44,4.62,8.16,-3.17,0.48,-0.62,0.12,0.61,625357,16:48:25.306486
11,-0.03,-0.07,0.01,28.75,-21.00,13.44,4.62,8.16,-3.17,0.48,-0.62,0.12,0.61,625403,16:48:25.359092
12,-0.03,-0.07,0.01,28.75,-21.00,13.44,4.66,8.01,-3.44,0.48,-0.62,0.12,0.61,625422,16:48:25.376369
13,-0.03,-0.07,0.01,28.75,-21.00,13.44,4.66,8.01,-3.44,0.48,-0.62,0.12,0.61,625458,16:48:25.413361
14,0.03,-0.07,0.07,28.75,-21.00,13.44,4.66,8.01,-3.44,0.48,-0.62,0.12,0.61,625485,16:48:25.438825
15,0.03,-0.07,0.07,28.75,-21.00,13.44,4.54,8.09,-3.32,0.48,-0.62,0.12,0.61,625521,16:48:25.471330
16,0.03,-0.07,0.07,28.75,-21.00,13.44,4.50,8.09,-3.29,0.48,-0.62,0.12,0.61,625556,16:48:25.512258
17,0.01,-0.06,0.06,28.75,-21.00,13.44,4.50,8.09,-3.29,0.48,-0.62,0.12,0.61,625598,16:48:25.548629
18,0.01,-0.06,0.06,28.75,-21.00,13.44,4.43,8.12,-3.36,0.48,-0.62,0.12,0.61,625624,16:48:25.576380
19,0.01,-0.06,0.06,28.75,-21.00,13.44,4.43,8.05,-3.32,0.48,-0.62,0.12,0.61,625651,16:48:25.606205
20,0.01,-0.05,0.05,28.75,-21.00,13.44,4.43,8.05,-3.32,0.48,-0.62,0.12,0.61,625694,16:48:25.650416
21,0.01,-0.05,0.05,28.75,-21.00,13.44,4.39,8.05,-3.32,0.48,-0.62,0.12,0.61,625731,16:48:25.683044
22,0.01,-0.05,0.05,28.75,-21.00,13.44,4.35,8.09,-3.29,0.48,-0.62,0.12,0.61,625767,16:48:25.722238
23,0.00,-0.01,0.01,28.75,-21.00,13.44,4.35,8.09,-3.29,0.48,-0.62,0.12,0.61,625797,16:48:25.749956
24,0.04,0.04,0.01,28.75,-21.00,13.44,4.35,8.09,-3.29,0.48,-0.62,0.12,0.61,625863,16:48:25.818166
25,0.04,0.04,0.01,28.75,-21.00,13.44,4.27,8.35,-3.17,0.48,-0.62,0.12,0.61,625934,16:48:25.882697
26,-0.10,-0.06,-0.04,28.75,-21.00,13.44,4.27,8.35,-3.17,0.48,-0.62,0.12,0.61,625961,16:48:25.913377
27,0.06,-0.02,-0.08,28.75,-21.00,13.44,4.27,8.35,-3.17,0.48,-0.62,0.12,0.61,625998,16:48:25.952390
28,0.06,-0.02,-0.08,28.75,-21.00,13.44,4.58,8.05,-3.25,0.48,-0.62,0.12,0.61,626022,16:48:25.976628
29,0.06,-0.02,-0.08,28.75,-21.00,13.44,4.81,7.86,-3.55,0.48,-0.62,0.12,0.61,626065,16:48:26.018954
30,0.01,-0.05,0.00,28.75,-21.00,13.44,4.81,7.86,-3.55,0.48,-0.62,0.12,0.61,626143,16:48:26.095926
31,0.01,-0.05,0.00,28.75,-21.00,13.44,4.69,7.97,-3.59,0.48,-0.62,0.12,0.61,626222,16:48:26.169787
32,0.01,-0.05,0.00,28.75,-21.00,13.44,4.31,8.28,-3.32,0.48,-0.62,0.12,0.61,626332,16:48:26.285634
33,0.01,-0.05,0.00,28.75,-21.00,13.44,4.27,7.86,-3.44,0.48,-0.62,0.12,0.61,626392,16:48:26.334803
34,0.05,0.00,0.04,28.75,-21.00,13.44,4.27,7.86,-3.44,0.48,-0.62,0.12,0.61,626431,16:48:26.380787
35,0.05,0.00,0.04,28.75,-21.00,13.44,4.43,8.09,-3.25,0.48,-0.62,0.12,0.61,626468,16:48:26.423248
36,-0.05,-0.05,-0.03,28.75,-21.00,13.44,4.43,8.09,-3.25,0.48,-0.62,0.12,0.61,626505,16:48:26.456138
37,-0.05,0.00,0.01,28.75,-21.00,13.44,4.43,8.09,-3.25,0.48,-0.62,0.12,0.61,626575,16:48:26.529942
38,-0.05,0.00,0.01,28.75,-21.00,13.44,4.31,7.97,-3.52,0.48,-0.62,0.12,0.61,626597,16:48:26.551308
39,-0.05,0.00,0.01,28.75,-21.00,13.44,4.46,8.01,-3.52,0.48,-0.62,0.12,0.61,626635,16:48:26.587482
40,-0.05,0.00,0.01,28.75,-21.00,13.44,4.50,8.09,-3.52,0.48,-0.62,0.12,0.61,626664,16:48:26.613142
41,0.00,0.06,0.01,28.75,-21.00,13.44,4.50,8.09,-3.52,0.48,-0.62,0.12,0.61,626698,16:48:26.649558
42,0.00,0.06,0.01,28.75,-21.00,13.44,4.31,8.01,-3.48,0.48,-0.62,0.12,0.61,626731,16:48:26.681122
43,0.00,0.06,0.01,28.75,-21.00,13.44,4.23,8.09,-3.59,0.48,-0.62,0.12,0.61,626771,16:48:26.726699
44,0.02,0.00,-0.02,28.75,-21.00,13.44,4.23,8.09,-3.59,0.48,-0.62,0.12,0.61,626794,16:48:26.747943
45,-0.05,-0.04,-0.02,28.75,-21.00,13.44,4.23,8.09,-3.59,0.48,-0.62,0.12,0.61,626835,16:48:26.789624
46,-0.05,-0.04,-0.02,28.75,-21.00,13.44,4.62,7.93,-3.55,0.48,-0.62,0.12,0.61,626853,16:48:26.808165
47,0.06,0.06,0.02,28.75,-21.00,13.44,4.62,7.93,-3.55,0.48,-0.62,0.12,0.61,626904,16:48:26.857930
48,0.06,0.06,0.02,28.75,-21.00,13.44,4.50,8.09,-3.55,0.48,-0.62,0.12,0.61,626965,16:48:26.914534
49,0.06,0.06,0.02,28.75,-21.00,13.44,4.31,8.20,-3.52,0.48,-0.62,0.12,0.61,627016,16:48:26.971160
50,-0.04,0.07,0.02,28.75,-21.00,13.44,4.31,8.20,-3.52,0.48,-0.62,0.12,0.61,627039,16:48:26.993470
51,-0.04,0.07,0.02,28.75,-21.00,13.44,3.81,8.01,-4.05,0.48,-0.62,0.12,0.61,627077,16:48:27.023950
52,-0.04,0.07,0.02,28.75,-21.00,13.44,3.85,8.01,-4.01,0.48,-0.62,0.12,0.61,627131,16:48:27.087476
53,0.07,0.24,-0.19,28.75,-21.00,13.44,3.85,8.01,-4.01,0.48,-0.62,0.12,0.61,627226,16:48:27.177699
54,0.05,0.26,-0.27,28.75,-21.00,13.44,3.85,8.01,-4.01,0.48,-0.62,0.12,0.61,627639,16:48:27.582673
55,0.05,0.61,-0.31,28.75,-21.00,13.44,3.85,8.01,-4.01,0.48,-0.62,0.12,0.61,627712,16:48:27.644305
56,0.05,0.61,-0.31,-0.19,-17.69,1.56,3.85,8.01,-4.01,0.48,-0.62,0.12,0.61,627750,16:48:27.700031
57,0.05,0.61,-0.31,-0.19,-17.69,1.56,8.79,8.16,-2.21,0.48,-0.62,0.12,0.61,627826,16:48:27.745882
58,0.05,0.61,-0.31,-0.19,-17.69,1.56,8.98,8.89,-1.14,0.48,-0.62,0.12,0.61,627875,16:48:27.827102
59,-0.64,0.00,2.69,-0.19,-17.69,1.56,8.98,8.89,-1.14,0.48,-0.62,0.12,0.61,627917,16:48:27.867933
60,-0.64,0.00,2.69,-0.19,-17.69,1.56,5.15,4.79,-2.82,0.48,-0.62,0.12,0.61,627958,16:48:27.911114
61,0.12,-0.45,1.41,-0.19,-17.69,1.56,5.15,4.79,-2.82,0.48,-0.62,0.12,0.61,627983,16:48:27.936161
62,0.12,-0.45,1.41,-0.19,-17.69,1.56,2.93,3.64,-2.90,0.48,-0.62,0.12,0.61,628029,16:48:27.985079
63,0.29,-1.22,0.79,-0.19,-17.69,1.56,2.93,3.64,-2.90,0.48,-0.62,0.12,0.61,628076,16:48:28.015646
64,0.07,-0.60,-0.78,-0.19,-17.69,1.56,2.93,3.64,-2.90,0.48,-0.62,0.12,0.61,628133,16:48:28.080565
65,0.01,-0.32,-2.12,-0.19,-17.69,1.56,2.93,3.64,-2.90,0.48,-0.62,0.12,0.61,628179,16:48:28.132913
66,0.01,-0.32,-2.12,-0.19,-17.69,1.56,4.69,10.19,-4.82,0.48,-0.62,0.12,0.61,628216,16:48:28.165921
67,-0.00,-0.04,-2.67,-0.19,-17.69,1.56,4.69,10.19,-4.82,0.48,-0.62,0.12,0.61,628262,16:48:28.216391
68,-0.00,-0.04,-2.67,-0.19,-17.69,1.56,6.49,10.27,-4.74,0.48,-0.62,0.12,0.61,628286,16:48:28.238812
69,1.07,2.01,-2.30,-0.19,-17.69,1.56,6.49,10.27,-4.74,0.48,-0.62,0.12,0.61,628329,16:48:28.285288
70,1.07,2.01,-2.30,-0.19,-17.69,1.56,6.49,10.27,-4.74,0.53,-0.65,-0.12,0.54,628400,16:48:28.353496
71,0.58,2.04,-2.59,-0.19,-17.69,1.56,6.49,10.27,-4.74,0.53,-0.65,-0.12,0.54,628446,16:48:28.376287
72,0.58,2.04,-2.59,-0.19,-17.69,1.56,5.54,9.31,-0.68,0.53,-0.65,-0.12,0.54,628557,16:48:28.503889
73,0.58,2.04,-2.59,-0.19,-17.69,1.56,5.77,9.08,-0.99,0.53,-0.65,-0.12,0.54,628609,16:48:28.558902
74,0.58,2.04,-2.59,-0.19,-17.69,1.56,5.84,8.62,0.28,0.53,-0.65,-0.12,0.54,628700,16:48:28.627337
75,0.58,2.04,-2.59,-0.19,-17.69,1.56,6.72,8.24,0.05,0.53,-0.65,-0.12,0.54,628750,16:48:28.701015
76,0.58,2.04,-2.59,-0.19,-17.69,1.56,7.72,7.74,-2.02,0.53,-0.65,-0.12,0.54,628793,16:48:28.739943
77,0.58,2.04,-2.59,-0.19,-17.69,1.56,6.65,11.88,-1.14,0.53,-0.65,-0.12,0.54,628840,16:48:28.783231
78,0.58,2.04,-2.59,-0.19,-17.69,1.56,5.34,13.56,-0.87,0.53,-0.65,-0.12,0.54,628867,16:48:28.821353
79,-0.22,-2.46,1.62,-0.19,-17.69,1.56,5.34,13.56,-0.87,0.53,-0.65,-0.12,0.54,628901,16:48:28.843739
80,-0.26,-1.41,2.41,-0.19,-17.69,1.56,5.34,13.56,-0.87,0.53,-0.65,-0.12,0.54,628937,16:48:28.887627
81,-0.26,-1.41,2.41,-0.19,-17.69,1.56,5.30,11.00,-0.34,0.53,-0.65,-0.12,0.54,628989,16:48:28.930694
82,-0.50,-1.33,2.84,-0.19,-17.69,1.56,5.30,11.00,-0.34,0.53,-0.65,-0.12,0.54,629109,16:48:29.044286
83,-0.17,-1.35,2.28,-0.19,-17.69,1.56,5.30,11.00,-0.34,0.53,-0.65,-0.12,0.54,629169,16:48:29.116759
84,-0.17,-1.35,2.28,-0.19,-17.69,1.56,4.46,9.85,-0.45,0.53,-0.65,-0.12,0.54,629206,16:48:29.156754
85,-0.17,-1.35,2.28,-0.19,-17.69,1.56,4.85,7.36,-2.29,0.53,-0.65,-0.12,0.54,629253,16:48:29.197872
86,-0.17,-1.35,2.28,-0.19,-17.69,1.56,4.69,6.59,-2.48,0.53,-0.65,-0.12,0.54,629370,16:48:29.323035
87,-0.17,-1.35,2.28,-0.19,-17.69,1.56,4.31,6.17,-3.25,0.53,-0.65,-0.12,0.54,629599,16:48:29.545464
88,-0.17,-1.35,2.28,-0.19,-17.69,1.56,1.86,7.36,-4.05,0.53,-0.65,-0.12,0.54,629766,16:48:29.704335
89,-0.17,-1.35,2.28,-0.19,-17.69,1.56,5.54,10.80,-4.62,0.53,-0.65,-0.12,0.54,629797,16:48:29.739818
90,-0.17,-1.35,2.28,-0.19,-17.69,1.56,6.46,7.70,-4.13,0.53,-0.65,-0.12,0.54,629947,16:48:29.898479
91,-0.17,-1.35,2.28,-0.19,-17.69,1.56,6.53,8.01,-2.59,0.53,-0.65,-0.12,0.54,630149,16:48:30.094217
92,-0.17,-1.35,2.28,-0.19,-17.69,1.56,8.41,8.20,-0.60,0.53,-0.65,-0.12,0.54,630467,16:48:30.415234
93,-0.17,-1.35,2.28,-0.19,-17.69,1.56,8.14,9.77,-0.91,0.53,-0.65,-0.12,0.54,630815,16:48:30.738234
94,-0.17,-1.35,2.28,-0.19,-17.69,1.56,3.35,7.59,-2.33,0.53,-0.65,-0.12,0.54,631128,16:48:31.057771
95,-0.17,-1.35,2.28,-0.19,-17.69,1.56,4.92,10.88,-3.44,0.53,-0.65,-0.12,0.54,631396,16:48:31.339508
96,0.27,0.75,-0.57,-0.19,-17.69,1.56,4.92,10.88,-3.44,0.53,-0.65,-0.12,0.54,631855,16:48:31.806995
97,0.27,0.75,-0.57,-2.44,-10.50,13.50,4.92,10.88,-3.44,0.53,-0.65,-0.12,0.54,631994,16:48:31.925518
98,0.27,0.75,-0.57,-2.44,-10.50,13.50,1.36,7.16,-2.94,0.53,-0.65,-0.12,0.54,632147,16:48:32.100184
99,0.74,-0.01,-2.25,-2.44,-10.50,13.50,1.36,7.16,-2.94,0.53,-0.65,-0.12,0.54,632220,16:48:32.147705
100,0.74,-0.01,-2.25,-5.00,-3.56,10.50,1.36,7.16,-2.94,0.53,-0.65,-0.12,0.54,632366,16:48:32.306272
101,0.74,-0.01,-2.25,-5.00,-3.56,10.50,6.04,9.43,-0.95,0.53,-0.65,-0.12,0.54,633210,16:48:33.160694
